Total = 1, ray florets = 0 
Total = 2, ray florets = 1 
Total = 3, ray florets = 1 
Total = 4, ray florets = 2 
Total = 5, ray florets = 3 
Total = 6, ray florets = 3 
Total = 7, ray florets = 3 
Total = 8, ray florets = 4 
Total = 9, ray florets = 5 
Total = 10, ray florets = 5 
Total = 11, ray florets = 5 
Total = 12, ray florets = 5 
Total = 13, ray florets = 5 
Total = 14, ray florets = 5 
Total = 15, ray florets = 6 
Total = 16, ray florets = 7 
Total = 17, ray florets = 8 
Total = 18, ray florets = 8 
Total = 19, ray florets = 8 
Total = 20, ray florets = 8 
Total = 21, ray florets = 8 
Total = 22, ray florets = 8 
Total = 23, ray florets = 8 
Total = 24, ray florets = 8 
Total = 25, ray florets = 8 
Total = 26, ray florets = 8 
Total = 27, ray florets = 8 
Total = 28, ray florets = 8 
Total = 29, ray florets = 8 
Total = 30, ray florets = 8 
Total = 31, ray florets = 8 
Total = 32, ray florets = 8 
Total = 33, ray florets = 8 
Total = 34, ray florets = 9 
Total = 35, ray florets = 10 
Total = 36, ray florets = 11 
Total = 37, ray florets = 12 
Total = 38, ray florets = 13 
Total = 39, ray florets = 13 
Total = 40, ray florets = 13 
Total = 41, ray florets = 13 
Total = 42, ray florets = 13 
Total = 43, ray florets = 13 
Total = 44, ray florets = 13 
Total = 45, ray florets = 13 
Total = 46, ray florets = 13 
Total = 47, ray florets = 13 
Total = 48, ray florets = 13 
Total = 49, ray florets = 13 
Total = 50, ray florets = 13 
Total = 51, ray florets = 13 
Total = 52, ray florets = 13 
Total = 53, ray florets = 13 
Total = 54, ray florets = 13 
Total = 55, ray florets = 13 
Total = 56, ray florets = 13 
Total = 57, ray florets = 13 
Total = 58, ray florets = 13 
Total = 59, ray florets = 13 
Total = 60, ray florets = 13 
Total = 61, ray florets = 13 
Total = 62, ray florets = 13 
Total = 63, ray florets = 13 
Total = 64, ray florets = 13 
Total = 65, ray florets = 13 
Total = 66, ray florets = 13 
Total = 67, ray florets = 13 
Total = 68, ray florets = 13 
Total = 69, ray florets = 13 
Total = 70, ray florets = 13 
Total = 71, ray florets = 13 
Total = 72, ray florets = 13 
Total = 73, ray florets = 13 
Total = 74, ray florets = 13 
Total = 75, ray florets = 13 
Total = 76, ray florets = 13 
Total = 77, ray florets = 13 
Total = 78, ray florets = 13 
Total = 79, ray florets = 13 
Total = 80, ray florets = 14 
Total = 81, ray florets = 15 
Total = 82, ray florets = 16 
Total = 83, ray florets = 17 
Total = 84, ray florets = 18 
Total = 85, ray florets = 19 
Total = 86, ray florets = 20 
Total = 87, ray florets = 21 
Total = 88, ray florets = 21 
Total = 89, ray florets = 21 
Total = 90, ray florets = 21 
Total = 91, ray florets = 21 
Total = 92, ray florets = 21 
Total = 93, ray florets = 21 
Total = 94, ray florets = 21 
Total = 95, ray florets = 21 
Total = 96, ray florets = 21 
Total = 97, ray florets = 21 
Total = 98, ray florets = 21 
Total = 99, ray florets = 21 
Total = 100, ray florets = 21 
